CiudadOrigen,CiudadDestino,Distancia
0,0,0.000000000000000000e+00
0,1,4.726653149957165624e+03
0,2,1.204349201851356838e+03
0,3,6.362502102160752656e+03
0,4,3.656991249647720906e+03
1,0,4.726653149957165624e+03
1,1,0.000000000000000000e+00
1,2,3.587423169909008720e+03
1,3,2.011662247992937864e+03
1,4,1.841400825458704958e+03
2,0,1.204349201851356838e+03
2,1,3.587423169909008720e+03
2,2,0.000000000000000000e+00
2,3,5.162027702366580343e+03
2,4,2.457865740841024945e+03
3,0,6.362502102160752656e+03
3,1,2.011662247992937864e+03
3,2,5.162027702366580343e+03
3,3,0.000000000000000000e+00
3,4,2.798672899786611197e+03
4,0,3.656991249647720906e+03
4,1,1.841400825458704958e+03
4,2,2.457865740841024945e+03
4,3,2.798672899786611197e+03
4,4,0.000000000000000000e+00
0,5,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
